long,lat,date,apn,address,city,zip,units
-118.310394,34.055725,2002-08-01T00:00:00Z,,3638 S 9TH,Los Angeles,,1
-118.28771,33.99659,2006-10-01T00:00:00Z,,813 W 51ST,Los Angeles,,2
-118.38804,34.0734,2007-11-13T00:00:00Z,,303  ALMONT   Dr,Los Angeles,90048,1
-118.245163,34.062899,2001-07-01T00:00:00Z,,825 W BOSTON,Los Angeles,,6
-118.21804,34.046686,2001-07-01T00:00:00Z,,1932 S 2ND,Los Angeles,,27
-118.29213,33.9856,2001-07-01T00:00:00Z,,1012 W 60TH,Los Angeles,,4
-118.28345,34.03328,2001-07-01T00:00:00Z,,1029 W 25TH,Los Angeles,,5
-118.41458,34.04921,2001-07-01T00:00:00Z,,10305 W ALMAYO,Los Angeles,,2
-118.414232,34.049276,2001-07-01T00:00:00Z,,10309 W ALMAYO,Los Angeles,,5
-118.414385,34.049185,2001-08-01T00:00:00Z,,10313 W ALMAYO,Los Angeles,,6
-118.46014,33.99938,2001-08-01T00:00:00Z,,1042 S FREDERICK,Los Angeles,,20
-118.44398,34.06111,2001-08-01T00:00:00Z,,1070 S GLENDON,Los Angeles,,41
-118.38455,34.07492,2001-08-01T00:00:00Z,,108 S CLARK,Los Angeles,,1
-118.27428,33.99177,2001-08-01T00:00:00Z,,109 W 56TH,Los Angeles,,25
-118.27428,33.99177,2001-08-01T00:00:00Z,,109 W 56TH,Los Angeles,,25
-118.25811,34.07487,2001-08-01T00:00:00Z,,1100 N ECHO PARK,Los Angeles,,4
-118.20328,34.02341,2001-08-01T00:00:00Z,,1110 S LORENA,Los Angeles,,2
-118.295,34.01792,2001-08-01T00:00:00Z,,1110 W EXPOSITION,Los Angeles,,6
-118.295,34.01792,2001-09-01T00:00:00Z,,1110 W EXPOSITION,Los Angeles,,6
-118.28693,34.09134,2001-09-01T00:00:00Z,,1115 N VIRGIL,Los Angeles,,3
-118.24726,34.07079,2001-09-01T00:00:00Z,,1126 WHITE KNOLL,Los Angeles,,4
-118.43531,34.27722,2001-09-01T00:00:00Z,,11402 N ILEX,Los Angeles,,5
-118.255193,34.021901,2001-09-01T00:00:00Z,,1154 E 23RD,Los Angeles,,4
-118.38499,34.18604,2001-09-01T00:00:00Z,,11613 W FRIAR,Los Angeles,,4
-118.47402,34.04703,2001-09-01T00:00:00Z,,1166 S AMHERST,Los Angeles,,10
-118.32369,34.05012,2001-09-01T00:00:00Z,,1180 S BRONSON,Los Angeles,,5
-118.390115,34.140866,2001-09-01T00:00:00Z,,11817 LAURELWOOD,Los Angeles,,5
-118.468386,34.050471,2001-09-01T00:00:00Z,,11826 W DOROTHY,Los Angeles,,8
-118.46925,34.04481,2001-10-01T00:00:00Z,,11932 W GOSHEN,Los Angeles,,2
-118.394178,34.146552,2001-10-01T00:00:00Z,,12061 W GUERIN,Los Angeles,,4
-118.394178,34.146552,2001-10-01T00:00:00Z,,12061 W GUERIN,Los Angeles,,1
-118.4688,34.04347,2001-10-01T00:00:00Z,,12207 W WILSHIRE,Los Angeles,,13
-118.28725,34.03245,2001-10-01T00:00:00Z,,1226 W ADAMS,Los Angeles,,11
-118.46283,34.04613,2001-10-01T00:00:00Z,,1241 S WESTGATE,Los Angeles,,12
-118.46283,34.04613,2001-10-01T00:00:00Z,,1241 S WESTGATE,Los Angeles,,12
-118.411,34.15078,2001-10-01T00:00:00Z,,12745 W MOORPARK,Los Angeles,,16
-118.47032,33.98385,2001-10-01T00:00:00Z,,12 SOUTH VENICE,Los Angeles,,3
-118.29827,33.96059,2001-10-01T00:00:00Z,,1300 W 85TH,Los Angeles,,3
-118.30078,34.01577,2001-11-01T00:00:00Z,,1317 W 39TH,Los Angeles,,4
-118.34987,34.09572,2001-11-01T00:00:00Z,,1345 FULLER,Los Angeles,,1
-118.455046,34.047674,2001-11-01T00:00:00Z,,1412 S COLBY,Los Angeles,,16
-118.25857,34.07954,2001-11-01T00:00:00Z,,1415 N LEMOYNE,Los Angeles,,4
-118.45469,34.04754,2001-11-01T00:00:00Z,,1416 S COLBY,Los Angeles,,3
-118.4557,34.04623,2001-11-01T00:00:00Z,,1433 S FEDERAL,Los Angeles,,8
-118.44635,34.18997,2001-11-01T00:00:00Z,,14359 W HAYNES,Los Angeles,,7
-118.38107,34.05254,2001-11-01T00:00:00Z,,1453 S BEDFORD,Los Angeles,,2
-118.29351,34.02984,2001-11-01T00:00:00Z,,1463 W 28TH,Los Angeles,,5
-118.46507,34.152508,2001-11-01T00:00:00Z,,15229 W DICKENS,Los Angeles,,10
-118.46507,34.152508,2001-11-01T00:00:00Z,,15229 W DICKENS,Los Angeles,,1
-118.46517,34.152526,2001-11-01T00:00:00Z,,15235 DICKENS,Los Angeles,,1
-118.46517,34.152526,2001-11-01T00:00:00Z,,15235 DICKENS,Los Angeles,,4
-118.26765,34.03601,2001-11-01T00:00:00Z,,1600 S HOPE,Los Angeles,,48
-118.24897,34.09257,2001-11-01T00:00:00Z,,1608 W CERRO GORDO,Los Angeles,,4
-118.37267,34.04766,2001-12-01T00:00:00Z,,1621 S STEARNS,Los Angeles,,3
-118.31054,34.016575,2001-12-01T00:00:00Z,,1651 W 38TH,Los Angeles,,2
-118.29725,34.07493,2001-12-01T00:00:00Z,,174 N EDGEMONT,Los Angeles,,4
-118.26612,34.09059,2001-12-01T00:00:00Z,,1810 N EASTERLY,Los Angeles,,2
-118.30078,34.03608,2001-12-01T00:00:00Z,,1814 W 22ND,Los Angeles,,2
-118.33043,34.10469,2001-12-01T00:00:00Z,,1825 N CAHUENGA,Los Angeles,,59
-118.44618,34.04269,2001-12-01T00:00:00Z,,1832 CORINTH,Los Angeles,,15
-118.42962,34.05127,2001-12-01T00:00:00Z,,1904 S MANNING,Los Angeles,,3
-118.30671,34.038,2001-12-01T00:00:00Z,,2106 S HOBART,Los Angeles,,7
-118.34442,34.03603,2001-12-01T00:00:00Z,,2205 S HARCOURT,Los Angeles,,4
-118.41542,34.05174,2001-12-01T00:00:00Z,,2224 S FOX HILLS,Los Angeles,,3
-118.30667,34.03001,2001-12-01T00:00:00Z,,22705 S HARVARD,Los Angeles,,5
-118.30949,34.07537,2001-12-01T00:00:00Z,,227 N WESTERN,Los Angeles,,4
-118.47085,33.98988,2001-06-01T00:00:00Z,,234 E HORIZON,Los Angeles,,5
-118.27775,33.94449,2001-06-01T00:00:00Z,,240 W 101ST,Los Angeles,,3
